product_id,product_name,category,supplier,unit_cost,unit_price,reorder_level
1,Official Bea,Beauty,Torres and Sons,12.61,17.01,96
2,Law Ele,Electronics,"Lawson, Morris and Ramos",69.15,95.98,35
3,Republican Bea,Beauty,Dixon Ltd,28.39,47.57,99
4,Condition Ele,Electronics,"Miller, Robertson and Schultz",44.83,74.72,86
5,Government App,Apparel,Cardenas and Sons,93.80,127.88,60
6,Remember Hom,Home,Walker-Gonzalez,30.23,39.45,58
7,Ago Spo,Sports,Sanchez Group,35.04,63.12,29
8,Popular Ele,Electronics,Gibson Ltd,48.54,97.01,32
9,Parent Ele,Electronics,Higgins Group,56.08,89.98,36
10,Miss App,Apparel,Sanchez-Douglas,88.68,168.80,67
11,Accept App,Apparel,Osborne and Sons,19.99,37.31,58
12,Control Bea,Beauty,"Holmes, Williams and Wright",98.47,181.74,87
13,Thus Ele,Electronics,Bryant Group,68.45,112.51,33
14,Region Hom,Home,"Travis, Larson and Dodson",30.12,57.59,90
15,Vote Hom,Home,Salazar-Ball,30.87,51.99,63
16,Mother Hom,Home,Rivas-Kelley,70.31,132.35,84
17,Watch Spo,Sports,Manning Group,28.86,55.59,26
18,Listen Ele,Electronics,Walton-Larsen,65.26,121.61,25
19,Factor Ele,Electronics,"Washington, Allen and Gonzales",36.69,47.87,53
20,Sell Hom,Home,Young-Rogers,75.42,123.79,74
21,Walk Bea,Beauty,"Miller, Hernandez and Reyes",5.92,7.46,39
22,Claim Bea,Beauty,"Lewis, Perry and Rivera",8.42,12.60,90
23,Man Hom,Home,Brown-Wall,45.83,56.53,66
24,Improve Ele,Electronics,"Shah, Smith and Gilmore",90.40,123.67,51
25,Parent Ele,Electronics,Woods-Bender,38.60,63.61,72
26,Fire Bea,Beauty,Castaneda-Ashley,76.20,147.88,50
27,Kind Hom,Home,"Adkins, Payne and Morrison",97.74,180.68,72
28,Discussion Ele,Electronics,Robinson-Graham,22.04,42.75,72
29,Air Hom,Home,Rogers-Shelton,30.35,55.53,33
30,Interview Spo,Sports,"Martin, Mcdonald and Anderson",87.86,165.77,48
31,Prevent Hom,Home,"Johnson, Long and Elliott",82.58,129.50,59
32,Agreement Hom,Home,Day and Sons,26.18,45.24,71
33,Trial App,Apparel,White-Green,31.47,39.51,55
34,Generation App,Apparel,Gibson LLC,65.94,100.21,88
35,Sort App,Apparel,Ramirez-Bean,94.23,121.77,53
36,Know Hom,Home,Conley-Ruiz,60.16,119.52,24
37,So Ele,Electronics,"Williams, Crane and Walker",61.67,91.07,60
38,Authority Spo,Sports,"Williams, Johnson and Wright",62.59,100.72,69
39,Those Bea,Beauty,Howell and Sons,23.06,28.49,75
40,Card Ele,Electronics,Caldwell-Elliott,54.39,100.37,45
41,Discover App,Apparel,Lyons-Wang,45.97,90.07,62
42,Computer Bea,Beauty,"Lawson, Adkins and Wilson",34.82,65.41,58
43,Tell Bea,Beauty,Oconnell Inc,34.38,52.49,71
44,Particular App,Apparel,Hickman PLC,57.67,78.05,68
45,Research Hom,Home,Sanders-Espinoza,63.47,91.45,90
46,Bag Ele,Electronics,"Vaughn, Burton and Garcia",33.87,46.34,94
47,Spring Bea,Beauty,Jefferson-Burke,67.20,105.63,76
48,Camera Hom,Home,"Patton, Reed and Patterson",53.56,98.28,41
49,Hospital Ele,Electronics,Hunter LLC,31.96,55.32,99
50,Actually App,Apparel,Short-Garcia,13.87,27.21,50
