product_id,product_name,category,quantity_on_hand,reorder_level,below_reorder_level_flag,inventory_value
1,Official Bea,Beauty,168,96,0,2118.48
2,Law Ele,Electronics,125,35,0,8643.75
3,Republican Bea,Beauty,111,99,0,3151.29
4,Condition Ele,Electronics,85,86,1,3810.55
5,Government App,Apparel,22,60,1,2063.60
6,Remember Hom,Home,33,58,1,997.59
7,Ago Spo,Sports,135,29,0,4730.40
8,Popular Ele,Electronics,253,32,0,12280.62
9,Parent Ele,Electronics,47,36,0,2635.76
10,Miss App,Apparel,243,67,0,21549.24
11,Accept App,Apparel,222,58,0,4437.78
12,Control Bea,Beauty,109,87,0,10733.23
13,Thus Ele,Electronics,206,33,0,14100.70
14,Region Hom,Home,263,90,0,7921.56
15,Vote Hom,Home,214,63,0,6606.18
16,Mother Hom,Home,134,84,0,9421.54
17,Watch Spo,Sports,85,26,0,2453.10
18,Listen Ele,Electronics,12,25,1,783.12
19,Factor Ele,Electronics,64,53,0,2348.16
20,Sell Hom,Home,227,74,0,17120.34
21,Walk Bea,Beauty,122,39,0,722.24
22,Claim Bea,Beauty,100,90,0,842.00
23,Man Hom,Home,275,66,0,12603.25
24,Improve Ele,Electronics,247,51,0,22328.80
25,Parent Ele,Electronics,35,72,1,1351.00
26,Fire Bea,Beauty,295,50,0,22479.00
27,Kind Hom,Home,137,72,0,13390.38
28,Discussion Ele,Electronics,72,72,1,1586.88
29,Air Hom,Home,243,33,0,7375.05
30,Interview Spo,Sports,78,48,0,6853.08
31,Prevent Hom,Home,247,59,0,20397.26
32,Agreement Hom,Home,281,71,0,7356.58
33,Trial App,Apparel,296,55,0,9315.12
34,Generation App,Apparel,172,88,0,11341.68
35,Sort App,Apparel,236,53,0,22238.28
36,Know Hom,Home,268,24,0,16122.88
37,So Ele,Electronics,228,60,0,14060.76
38,Authority Spo,Sports,290,69,0,18151.10
39,Those Bea,Beauty,238,75,0,5488.28
40,Card Ele,Electronics,91,45,0,4949.49
41,Discover App,Apparel,253,62,0,11630.41
42,Computer Bea,Beauty,240,58,0,8356.80
43,Tell Bea,Beauty,142,71,0,4881.96
44,Particular App,Apparel,136,68,0,7843.12
45,Research Hom,Home,151,90,0,9583.97
46,Bag Ele,Electronics,276,94,0,9348.12
47,Spring Bea,Beauty,258,76,0,17337.60
48,Camera Hom,Home,132,41,0,7069.92
49,Hospital Ele,Electronics,150,99,0,4794.00
50,Actually App,Apparel,235,50,0,3259.45
