stage_id,order_id,stage_name,employee_id,start_time,end_time,process_minutes
1,1,Picking,5,2025-10-25 09:24:11,2025-10-25 09:46:11,22
2,1,Packing,8,2025-10-25 09:51:11,2025-10-25 10:16:11,25
3,1,Shipping,13,2025-10-25 10:18:11,2025-10-25 10:36:11,18
4,2,Picking,2,2025-10-25 18:49:22,2025-10-25 19:20:22,31
5,2,Packing,7,2025-10-25 19:26:22,2025-10-25 19:52:22,26
6,2,Shipping,14,2025-10-25 20:06:22,2025-10-25 20:42:22,36
7,3,Picking,12,2025-10-24 11:34:03,2025-10-24 11:40:03,6
8,3,Packing,10,2025-10-24 11:49:03,2025-10-24 12:18:03,29
9,3,Shipping,13,2025-10-24 12:33:03,2025-10-24 12:43:03,10
10,4,Picking,9,2025-10-24 05:08:24,2025-10-24 05:47:24,39
11,4,Packing,14,2025-10-24 05:56:24,2025-10-24 06:15:24,19
12,4,Shipping,16,2025-10-24 06:30:24,2025-10-24 06:54:24,24
13,5,Picking,19,2025-10-26 07:19:57,2025-10-26 07:34:57,15
14,5,Packing,19,2025-10-26 07:41:57,2025-10-26 07:54:57,13
15,5,Shipping,1,2025-10-26 07:54:57,2025-10-26 08:29:57,35
16,6,Picking,11,2025-10-21 14:30:52,2025-10-21 15:04:52,34
17,6,Packing,7,2025-10-21 15:06:52,2025-10-21 15:14:52,8
18,6,Shipping,15,2025-10-21 15:22:52,2025-10-21 15:56:52,34
19,7,Picking,18,2025-10-22 00:55:18,2025-10-22 01:26:18,31
20,7,Packing,2,2025-10-22 01:30:18,2025-10-22 01:40:18,10
21,7,Shipping,12,2025-10-22 01:55:18,2025-10-22 02:06:18,11
22,8,Picking,5,2025-10-23 06:44:16,2025-10-23 06:50:16,6
23,8,Packing,8,2025-10-23 06:53:16,2025-10-23 07:10:16,17
24,8,Shipping,5,2025-10-23 07:10:16,2025-10-23 07:59:16,49
25,9,Picking,20,2025-10-22 20:21:32,2025-10-22 20:39:32,18
26,9,Packing,20,2025-10-22 20:46:32,2025-10-22 21:07:32,21
27,9,Shipping,4,2025-10-22 21:18:32,2025-10-22 21:38:32,20
28,10,Picking,7,2025-10-23 22:04:54,2025-10-23 22:46:54,42
29,10,Packing,3,2025-10-23 22:46:54,2025-10-23 23:10:54,24
30,10,Shipping,19,2025-10-23 23:22:54,2025-10-23 23:57:54,35
31,11,Picking,18,2025-10-25 15:56:07,2025-10-25 16:20:07,24
32,11,Packing,14,2025-10-25 16:30:07,2025-10-25 16:42:07,12
33,11,Shipping,12,2025-10-25 16:43:07,2025-10-25 17:15:07,32
34,12,Picking,15,2025-10-22 22:31:13,2025-10-22 23:02:13,31
35,12,Packing,5,2025-10-22 23:09:13,2025-10-22 23:20:13,11
36,12,Shipping,14,2025-10-22 23:33:13,2025-10-23 00:06:13,33
37,13,Picking,19,2025-10-23 08:19:52,2025-10-23 08:58:52,39
38,13,Packing,9,2025-10-23 09:05:52,2025-10-23 09:39:52,34
39,13,Shipping,11,2025-10-23 09:52:52,2025-10-23 10:48:52,56
40,14,Picking,1,2025-10-25 12:42:58,2025-10-25 13:15:58,33
41,14,Packing,16,2025-10-25 13:18:58,2025-10-25 13:52:58,34
42,14,Shipping,11,2025-10-25 14:04:58,2025-10-25 14:35:58,31
43,15,Picking,1,2025-10-25 00:37:54,2025-10-25 00:58:54,21
44,15,Packing,17,2025-10-25 01:03:54,2025-10-25 01:25:54,22
45,15,Shipping,7,2025-10-25 01:33:54,2025-10-25 02:18:54,45
46,16,Picking,1,2025-10-23 17:20:44,2025-10-23 18:00:44,40
47,16,Packing,3,2025-10-23 18:03:44,2025-10-23 18:38:44,35
48,16,Shipping,10,2025-10-23 18:53:44,2025-10-23 19:31:44,38
49,17,Picking,18,2025-10-24 08:19:36,2025-10-24 09:01:36,42
50,17,Packing,11,2025-10-24 09:06:36,2025-10-24 09:41:36,35
51,17,Shipping,12,2025-10-24 09:52:36,2025-10-24 10:29:36,37
52,18,Picking,18,2025-10-24 19:57:31,2025-10-24 20:16:31,19
53,18,Packing,6,2025-10-24 20:17:31,2025-10-24 20:34:31,17
54,18,Shipping,7,2025-10-24 20:44:31,2025-10-24 21:01:31,17
55,19,Picking,10,2025-10-24 17:10:27,2025-10-24 17:52:27,42
56,19,Packing,8,2025-10-24 18:00:27,2025-10-24 18:23:27,23
57,19,Shipping,12,2025-10-24 18:26:27,2025-10-24 18:48:27,22
58,20,Picking,5,2025-10-23 13:16:59,2025-10-23 13:38:59,22
59,20,Packing,16,2025-10-23 13:38:59,2025-10-23 13:46:59,8
60,20,Shipping,4,2025-10-23 13:55:59,2025-10-23 14:49:59,54
61,21,Picking,9,2025-10-24 01:33:18,2025-10-24 02:08:18,35
62,21,Packing,16,2025-10-24 02:15:18,2025-10-24 02:41:18,26
