return_id,order_id,product_id,customer_id,return_date,return_reason,return_quantity
1,185,48,95,2025-10-25,Wrong Item,3
2,399,38,55,2025-10-25,Unsatisfied,3
3,191,16,53,2025-10-26,Unsatisfied,2
4,108,38,70,2025-10-23,Wrong Item,1
5,455,7,20,2025-10-26,Damaged,3
6,381,39,70,2025-10-25,Damaged,1
7,301,42,43,2025-10-25,Damaged,1
8,361,29,29,2025-10-24,Damaged,1
9,483,35,39,2025-10-25,Unsatisfied,2
10,155,47,59,2025-10-26,Wrong Item,1
11,274,47,25,2025-10-26,Damaged,1
12,66,13,78,2025-10-24,Wrong Item,3
13,365,17,66,2025-10-25,Unsatisfied,2
14,459,24,84,2025-10-25,Wrong Item,3
15,368,8,84,2025-10-24,Wrong Item,1
16,248,27,82,2025-10-25,Unsatisfied,3
17,405,2,73,2025-10-25,Damaged,3
18,141,45,23,2025-10-24,Damaged,2
19,24,37,40,2025-10-24,Damaged,3
20,98,48,12,2025-10-25,Wrong Item,2
21,351,35,23,2025-10-24,Unsatisfied,1
22,85,29,65,2025-10-25,Unsatisfied,2
23,288,50,53,2025-10-24,Wrong Item,2
24,311,18,15,2025-10-25,Damaged,1
25,2,11,91,2025-10-25,Unsatisfied,1
26,304,45,23,2025-10-25,Damaged,3
27,234,33,81,2025-10-25,Unsatisfied,3
28,269,17,12,2025-10-25,Wrong Item,1
29,152,46,62,2025-10-25,Wrong Item,3
30,61,11,19,2025-10-26,Damaged,1
31,274,16,25,2025-10-23,Wrong Item,1
32,328,10,29,2025-10-25,Wrong Item,1
33,139,4,15,2025-10-23,Unsatisfied,1
34,422,14,20,2025-10-26,Unsatisfied,1
35,1,42,10,2025-10-25,Wrong Item,3
36,310,24,84,2025-10-25,Wrong Item,1
37,485,46,81,2025-10-23,Unsatisfied,2
38,370,9,45,2025-10-24,Wrong Item,3
39,151,21,25,2025-10-25,Damaged,3
40,418,1,1,2025-10-24,Wrong Item,1
41,375,18,22,2025-10-23,Damaged,2
42,498,2,40,2025-10-25,Unsatisfied,3
43,445,50,34,2025-10-24,Unsatisfied,1
44,370,48,45,2025-10-25,Unsatisfied,2
45,485,42,81,2025-10-23,Wrong Item,3
46,325,39,49,2025-10-23,Unsatisfied,1
47,419,29,29,2025-10-26,Damaged,2
48,138,14,93,2025-10-24,Unsatisfied,3
49,414,49,60,2025-10-24,Wrong Item,1
50,229,15,28,2025-10-25,Unsatisfied,3
51,223,24,59,2025-10-24,Damaged,2
52,48,32,55,2025-10-23,Damaged,2
53,95,12,40,2025-10-24,Damaged,3
54,252,47,42,2025-10-23,Damaged,3
55,145,2,90,2025-10-25,Wrong Item,1
56,454,12,99,2025-10-25,Wrong Item,3
57,312,13,85,2025-10-26,Damaged,1
58,37,28,62,2025-10-26,Damaged,2
59,466,42,19,2025-10-24,Wrong Item,1
60,371,34,36,2025-10-25,Damaged,3
61,385,1,44,2025-10-24,Unsatisfied,1
62,194,25,80,2025-10-26,Damaged,1
63,424,1,33,2025-10-24,Unsatisfied,1
64,68,16,61,2025-10-25,Damaged,2
65,74,41,42,2025-10-23,Unsatisfied,1
66,406,1,34,2025-10-24,Damaged,3
67,377,22,65,2025-10-26,Unsatisfied,1
68,104,9,68,2025-10-25,Wrong Item,3
69,457,29,86,2025-10-26,Damaged,2
70,170,31,25,2025-10-24,Damaged,1
71,29,35,95,2025-10-26,Unsatisfied,2
72,322,35,86,2025-10-25,Damaged,1
73,423,3,5,2025-10-24,Damaged,3
74,152,7,62,2025-10-25,Unsatisfied,2
75,73,1,82,2025-10-26,Damaged,1
76,117,28,10,2025-10-24,Wrong Item,1
77,181,42,11,2025-10-25,Wrong Item,1
78,472,44,6,2025-10-23,Wrong Item,3
79,453,46,74,2025-10-24,Damaged,2
80,87,8,20,2025-10-26,Damaged,1
81,490,19,62,2025-10-23,Wrong Item,1
82,316,22,7,2025-10-23,Damaged,2
83,473,6,39,2025-10-25,Damaged,3
84,78,12,49,2025-10-26,Wrong Item,3
85,172,39,51,2025-10-24,Damaged,3
86,218,10,66,2025-10-26,Unsatisfied,3
87,155,40,59,2025-10-25,Wrong Item,2
88,449,7,42,2025-10-25,Wrong Item,2
89,339,24,95,2025-10-25,Wrong Item,3
90,409,5,79,2025-10-26,Damaged,1
91,399,42,55,2025-10-24,Damaged,2
92,76,25,37,2025-10-26,Wrong Item,3
93,408,31,63,2025-10-26,Damaged,1
94,296,28,36,2025-10-25,Unsatisfied,2
95,75,6,85,2025-10-25,Wrong Item,1
96,94,50,22,2025-10-24,Wrong Item,2
97,164,32,58,2025-10-23,Wrong Item,2
98,356,27,69,2025-10-25,Unsatisfied,3
99,171,9,43,2025-10-24,Unsatisfied,1
100,197,27,27,2025-10-23,Unsatisfied,2
