order_id,order_detail_id,customer_id,product_id,order_date,quantity,unit_price,discount,sales_before_discount,discount_amount,net_sales_amount,total_cost,gross_profit
1,1,10,31,2025-10-25,1,129.50,0.0000,129.50,0.00,129.50,82.58,46.92
2,3,91,26,2025-10-25,3,147.88,0.1000,443.64,44.36,399.28,228.60,170.68
2,5,91,45,2025-10-25,8,91.45,0.1000,731.60,73.16,658.44,507.76,150.68
3,6,99,20,2025-10-24,6,123.79,0.0000,742.74,0.00,742.74,452.52,290.22
3,7,99,46,2025-10-24,9,46.34,0.0000,417.06,0.00,417.06,304.83,112.23
4,9,54,6,2025-10-24,8,39.45,0.0000,315.60,0.00,315.60,241.84,73.76
4,10,54,30,2025-10-24,5,165.77,0.1000,828.85,82.89,745.97,439.30,306.67
5,11,44,31,2025-10-26,4,129.50,0.0000,518.00,0.00,518.00,330.32,187.68
5,12,44,10,2025-10-26,10,168.80,0.0500,1688.00,84.40,1603.60,886.80,716.80
5,13,44,24,2025-10-26,7,123.67,0.0000,865.69,0.00,865.69,632.80,232.89
5,14,44,45,2025-10-26,6,91.45,0.0500,548.70,27.44,521.27,380.82,140.45
6,15,55,32,2025-10-21,1,45.24,0.0000,45.24,0.00,45.24,26.18,19.06
6,16,55,31,2025-10-21,2,129.50,0.0500,259.00,12.95,246.05,165.16,80.89
6,17,55,31,2025-10-21,8,129.50,0.0000,1036.00,0.00,1036.00,660.64,375.36
6,18,55,19,2025-10-21,6,47.87,0.1000,287.22,28.72,258.50,220.14,38.36
7,19,98,9,2025-10-22,9,89.98,0.0000,809.82,0.00,809.82,504.72,305.10
7,20,98,26,2025-10-22,2,147.88,0.0500,295.76,14.79,280.97,152.40,128.57
7,21,98,36,2025-10-22,2,119.52,0.0500,239.04,11.95,227.09,120.32,106.77
7,22,98,35,2025-10-22,8,121.77,0.0500,974.16,48.71,925.45,753.84,171.61
7,23,98,38,2025-10-22,7,100.72,0.0000,705.04,0.00,705.04,438.13,266.91
8,24,9,16,2025-10-23,9,132.35,0.0000,1191.15,0.00,1191.15,632.79,558.36
8,25,9,31,2025-10-23,7,129.50,0.0000,906.50,0.00,906.50,578.06,328.44
8,26,9,22,2025-10-23,4,12.60,0.1000,50.40,5.04,45.36,33.68,11.68
8,27,9,38,2025-10-23,7,100.72,0.0500,705.04,35.25,669.79,438.13,231.66
8,28,9,37,2025-10-23,6,91.07,0.1000,546.42,54.64,491.78,370.02,121.76
9,29,15,12,2025-10-22,2,181.74,0.1000,363.48,36.35,327.13,196.94,130.19
9,30,15,46,2025-10-22,10,46.34,0.0500,463.40,23.17,440.23,338.70,101.53
10,31,21,38,2025-10-23,10,100.72,0.0500,1007.20,50.36,956.84,625.90,330.94
11,32,81,36,2025-10-25,2,119.52,0.0500,239.04,11.95,227.09,120.32,106.77
11,33,81,12,2025-10-25,5,181.74,0.0500,908.70,45.44,863.27,492.35,370.92
11,34,81,5,2025-10-25,10,127.88,0.0000,1278.80,0.00,1278.80,938.00,340.80
12,35,83,50,2025-10-22,7,27.21,0.0500,190.47,9.52,180.95,97.09,83.86
12,36,83,32,2025-10-22,1,45.24,0.0000,45.24,0.00,45.24,26.18,19.06
12,37,83,14,2025-10-22,3,57.59,0.1000,172.77,17.28,155.49,90.36,65.13
12,38,83,49,2025-10-22,1,55.32,0.0000,55.32,0.00,55.32,31.96,23.36
12,39,83,43,2025-10-22,3,52.49,0.0500,157.47,7.87,149.60,103.14,46.46
13,40,67,19,2025-10-23,7,47.87,0.1000,335.09,33.51,301.58,256.83,44.75
13,41,67,37,2025-10-23,8,91.07,0.0000,728.56,0.00,728.56,493.36,235.20
13,42,67,14,2025-10-23,6,57.59,0.0500,345.54,17.28,328.26,180.72,147.54
13,43,67,37,2025-10-23,5,91.07,0.0500,455.35,22.77,432.58,308.35,124.23
13,44,67,46,2025-10-23,6,46.34,0.0000,278.04,0.00,278.04,203.22,74.82
14,45,12,1,2025-10-25,10,17.01,0.1000,170.10,17.01,153.09,126.10,26.99
14,46,12,26,2025-10-25,3,147.88,0.0500,443.64,22.18,421.46,228.60,192.86
14,47,12,4,2025-10-25,6,74.72,0.1000,448.32,44.83,403.49,268.98,134.51
14,48,12,4,2025-10-25,1,74.72,0.1000,74.72,7.47,67.25,44.83,22.42
14,49,12,36,2025-10-25,6,119.52,0.0000,717.12,0.00,717.12,360.96,356.16
15,50,28,2,2025-10-24,4,95.98,0.0500,383.92,19.20,364.72,276.60,88.12
15,51,28,45,2025-10-24,10,91.45,0.0500,914.50,45.73,868.78,634.70,234.08
15,52,28,41,2025-10-24,6,90.07,0.1000,540.42,54.04,486.38,275.82,210.56
16,53,93,26,2025-10-23,7,147.88,0.0500,1035.16,51.76,983.40,533.40,450.00
16,54,93,35,2025-10-23,4,121.77,0.1000,487.08,48.71,438.37,376.92,61.45
16,55,93,12,2025-10-23,8,181.74,0.0000,1453.92,0.00,1453.92,787.76,666.16
16,56,93,13,2025-10-23,9,112.51,0.0500,1012.59,50.63,961.96,616.05,345.91
17,57,89,27,2025-10-24,3,180.68,0.0500,542.04,27.10,514.94,293.22,221.72
17,58,89,43,2025-10-24,3,52.49,0.0000,157.47,0.00,157.47,103.14,54.33
17,59,89,1,2025-10-24,2,17.01,0.1000,34.02,3.40,30.62,25.22,5.40
18,60,35,10,2025-10-24,8,168.80,0.1000,1350.40,135.04,1215.36,709.44,505.92
19,61,62,9,2025-10-24,2,89.98,0.0000,179.96,0.00,179.96,112.16,67.80
19,62,62,42,2025-10-24,7,65.41,0.0500,457.87,22.89,434.98,243.74,191.24
